Date,Name / Description,Expense/Income,Amount (EUR)
30-12-2023,Monthly Appartment Rent,Expense,453.21
29-12-2023,Vattenfall Energy,Expense,98.45
28-12-2023,Albert Heijn Amsterdam,Expense,32.18
27-12-2023,Netflix NL,Expense,11.99
26-12-2023,Web Development,Income,1856.32
24-12-2023,Uber Amsterdam,Expense,24.5
23-12-2023,Jumbo Supermarkt,Expense,28.75
22-12-2023,Consulting,Income,2145.67
21-12-2023,Starbucks Amsterdam,Expense,6.75
20-12-2023,KPN Mobile,Expense,29.99
19-12-2023,Lidl Amsterdam,Expense,22.45
18-12-2023,Spotify Ab By Adyen,Expense,12.19
17-12-2023,Translation Services,Income,845
16-12-2023,Shell Station,Expense,58.32
15-12-2023,Pathé Cinema,Expense,15.5
14-12-2023,Albert Heijn Amsterdam,Expense,41.23
12-12-2023,Deliveroo,Expense,27.8
11-12-2023,Content Writing,Income,456.78
10-12-2023,Ziggo Internet,Expense,49.99
09-12-2023,Basic Fit Membership,Expense,24.99
08-12-2023,Bol.com,Expense,45.67
07-12-2023,Workshop Income,Income,575
06-12-2023,De Pijp Cafe,Expense,22.5
05-12-2023,NS Railways,Expense,17.8
04-12-2023,Kruidvat,Expense,12.35
03-12-2023,Freelancing,Income,3245.89
02-12-2023,Disney Plus,Expense,8.99
01-12-2023,Tesco Breda,Expense,19.45
30-11-2023,Monthly Appartment Rent,Expense,453.21
29-11-2023,Photography Gig,Income,320
28-11-2023,MediaMarkt,Expense,129.99
27-11-2023,Uber Eats,Expense,25.4
26-11-2023,Albert Heijn Amsterdam,Expense,37.82
25-11-2023,Youtube Revenue,Income,175.45
24-11-2023,GVB Amsterdam,Expense,7.5
23-11-2023,H&M Amsterdam,Expense,45.99
22-11-2023,Graphic Design,Income,890
21-11-2023,Foodhallen Amsterdam,Expense,38.75
20-11-2023,Vattenfall Energy,Expense,95.67
19-11-2023,Marqt Amsterdam,Expense,43.21
18-11-2023,Consulting,Income,2789.43
17-11-2023,Beta Boulders Ams Amsterdam,Expense,15.5
16-11-2023,Apple Services,Expense,39.99
15-11-2023,Online Teaching,Income,650
14-11-2023,Jumbo Supermarkt,Expense,31.24
13-11-2023,Paradiso Amsterdam,Expense,35
12-11-2023,Water Company PWN,Expense,35.67
11-11-2023,Airbnb Hosting,Income,645
10-11-2023,Etos Amsterdam,Expense,18.75
09-11-2023,Blogging,Income,4125.67
08-11-2023,IKEA Amsterdam,Expense,167.89
07-11-2023,Tls Bv Inz Ov-Chipkaart,Expense,17.5
06-11-2023,Selling Paintings,Income,42.5
05-11-2023,Melkweg Amsterdam,Expense,32.5
04-11-2023,Albert Heijn Amsterdam,Expense,28.9
03-11-2023,Translation Services,Income,780
02-11-2023,Vishandel Sier Amsterdam,Expense,13.75
01-11-2023,Tk Maxx Amsterdam Da,Expense,26.99
31-10-2023,Monthly Appartment Rent,Expense,453.21
30-10-2023,Web Development,Income,1975
29-10-2023,Starbucks Amsterdam,Expense,7.25
28-10-2023,Netflix NL,Expense,11.99
27-10-2023,Shell Station,Expense,62.45
26-10-2023,Content Writing,Income,567.89
25-10-2023,Lidl Amsterdam,Expense,29.87
24-10-2023,Spotify Ab By Adyen,Expense,12.19
23-10-2023,Consulting,Income,2456.78
22-10-2023,Deliveroo,Expense,31.45
21-10-2023,KPN Mobile,Expense,29.99
20-10-2023,Albert Heijn Amsterdam,Expense,36.78
19-10-2023,Workshop Income,Income,725
18-10-2023,Pathé Cinema,Expense,16.5
17-10-2023,Ziggo Internet,Expense,49.99
16-10-2023,Basic Fit Membership,Expense,24.99
15-10-2023,Photography Gig,Income,450
14-10-2023,De Pijp Cafe,Expense,24.75
13-10-2023,NS Railways,Expense,19.9
12-10-2023,Freelancing,Income,3567.89
11-10-2023,Kruidvat,Expense,15.67
10-10-2023,Disney Plus,Expense,8.99
09-10-2023,Tesco Breda,Expense,21.34
08-10-2023,Youtube Revenue,Income,245.67
07-10-2023,MediaMarkt,Expense,89.99
06-10-2023,Uber Eats,Expense,28.9
05-10-2023,Graphic Design,Income,1234.56
04-10-2023,H&M Amsterdam,Expense,52.45
03-10-2023,GVB Amsterdam,Expense,6.75
02-10-2023,Foodhallen Amsterdam,Expense,41.23
01-10-2023,Online Teaching,Income,725
30-09-2023,Monthly Appartment Rent,Expense,453.21
29-09-2023,Vattenfall Energy,Expense,102.34
28-09-2023,Marqt Amsterdam,Expense,38.9
27-09-2023,Consulting,Income,2890.12
26-09-2023,Beta Boulders Ams Amsterdam,Expense,16.5
25-09-2023,Apple Services,Expense,39.99
24-09-2023,Blogging,Income,4567.89
23-09-2023,Jumbo Supermarkt,Expense,33.45
22-09-2023,Paradiso Amsterdam,Expense,37.5
21-09-2023,Water Company PWN,Expense,36.78
20-09-2023,Translation Services,Income,890
19-09-2023,IKEA Amsterdam,Expense,145.67
18-09-2023,Tls Bv Inz Ov-Chipkaart,Expense,18.9
17-09-2023,Selling Paintings,Income,35
16-09-2023,Melkweg Amsterdam,Expense,35
15-09-2023,Albert Heijn Amsterdam,Expense,42.1
14-09-2023,Airbnb Hosting,Income,678.9
13-09-2023,Vishandel Sier Amsterdam,Expense,14.25
12-09-2023,Tk Maxx Amsterdam Da,Expense,28.99
11-09-2023,Web Development,Income,2123.45
10-09-2023,Starbucks Amsterdam,Expense,7.5
09-09-2023,Netflix NL,Expense,11.99
08-09-2023,Shell Station,Expense,65.78
07-09-2023,Content Writing,Income,678.9
06-09-2023,Lidl Amsterdam,Expense,27.65
05-09-2023,Spotify Ab By Adyen,Expense,12.19
04-09-2023,Consulting,Income,2345.67
03-09-2023,Deliveroo,Expense,29.9
02-09-2023,KPN Mobile,Expense,29.99
01-09-2023,Albert Heijn Amsterdam,Expense,39.45
